request_id,exact_match,expected_amount_safe_to_pay,actual_amount_safe_to_pay,match_amount_safe_to_pay,expected_affordability_status,actual_affordability_status,match_affordability_status,expected_recommended_payment_method,actual_recommended_payment_method,match_recommended_payment_method,expected_payment_plan,actual_payment_plan,match_payment_plan,expected_earliest_date_for_full_payment,actual_earliest_date_for_full_payment,match_earliest_date_for_full_payment,expected_spending_changes_needed,actual_spending_changes_needed,match_spending_changes_needed
request_01,FALSE,25256,17559.04,FALSE,affordable_now,not_affordable,FALSE,full_payment,not_recommended,FALSE,2024-03-03:25256,none,FALSE,2024-03-03,,FALSE,none,none,TRUE
request_02,FALSE,17229139.2,19030778.93,FALSE,affordable_with_plan,affordable_with_plan,TRUE,installments,installments,TRUE,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,TRUE,2025-09-15,2025-08-15,FALSE,none,none,TRUE
request_03,FALSE,873000,1039877.08,FALSE,affordable_later,affordable_later,TRUE,wait,wait,TRUE,2019-11-15:5491000,2019-10-30:5491000,FALSE,2019-11-15,2019-10-30,FALSE,none,none,TRUE
request_04,FALSE,8401800,9786535.24,FALSE,affordable_later,affordable_later,TRUE,wait,wait,TRUE,2024-06-15:12693000,2024-06-15:12693000,TRUE,2024-06-15,2024-06-15,TRUE,none,none,TRUE
request_05,FALSE,737,15488,FALSE,not_affordable,affordable_now,FALSE,not_recommended,full_payment,FALSE,none,2025-11-06:15488,FALSE,,2025-11-06,FALSE,none,none,TRUE
request_06,FALSE,603.3,620.4,FALSE,affordable_with_plan,affordable_now,FALSE,full_payment,full_payment,TRUE,2026-01-03:620.40,2026-01-03:620.4,FALSE,2026-01-15,2026-01-03,FALSE,stop:event_476,none,FALSE
request_07,FALSE,87170.56,101903.15,FALSE,affordable_with_plan,affordable_with_plan,TRUE,installments,installments,TRUE,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,TRUE,2024-10-23,2024-10-23,TRUE,none,none,TRUE
request_08,FALSE,284.57,314.27,FALSE,affordable_later,affordable_later,TRUE,wait,wait,TRUE,2025-04-15:996.60,2025-04-15:996.6,FALSE,2025-04-15,2025-04-15,TRUE,none,none,TRUE
request_09,TRUE,166.61,166.61,TRUE,affordable_now,affordable_now,TRUE,full_payment,full_payment,TRUE,2026-07-04:166.61,2026-07-04:166.61,TRUE,2026-07-04,2026-07-04,TRUE,none,none,TRUE
request_10,FALSE,12700,145240.93,FALSE,not_affordable,not_affordable,TRUE,not_recommended,not_recommended,TRUE,none,none,TRUE,,,TRUE,none,none,TRUE
