request_id,request_date,balance,minimum,requested,expected_safe,calculated_safe,future_cashflows,direct_future_events,recurring,excluded_future_events
request_01,2024-03-03,58481.1,18000,25256,25256,23896.78,2024-03-03:-1160.42|2024-03-05:-567.60|2024-03-06:-1651.81|2024-03-08:-1821.60|2024-03-11:-3722.40|2024-03-13:-306.90|2024-03-14:-1017.11|2024-03-15:23320.00|2024-04-02:-5148.00|2024-04-03:-1160.42|2024-04-06:-1651.81|2024-04-08:-1821.60|2024-04-11:-3722.40|2024-04-13:-306.90|2024-04-14:-1017.11|2024-05-02:-5148.00|2024-05-03:-1160.42|2024-05-06:-1651.81|2024-05-08:-1821.60|2024-05-11:-3722.40|2024-05-13:-306.90|2024-05-14:-1017.11,2024-03-05:event_102:debit:567.6|2024-03-15:event_103:credit:23320,event_32:Apartment rent transfer:monthly|event_27:Household utility payment:monthly|event_28:Professional training fee:monthly|event_29:Education loan instalment:monthly|event_30:Music service subscription:monthly|event_31:Delivery service plan:monthly|event_91:Quick-service meal:monthly|event_94:Coffee shop:monthly,none
request_02,2025-08-05,60383889.2,29158400,46018000,17229139.2,21248920.54,2025-08-07:-2141849.94|2025-08-08:-2783500.00|2025-08-09:-3040000.00|2025-08-11:-1641668.72|2025-08-13:-369550.00|2025-08-15:41382220.11|2025-09-04:-3534000.00|2025-09-07:-2141849.94|2025-09-08:-1132400.00|2025-09-09:-3040000.00|2025-09-11:-1641668.72|2025-09-13:-369550.00|2025-09-15:41382220.11|2025-10-04:-3534000.00|2025-10-07:-2141849.94|2025-10-08:-1132400.00|2025-10-09:-3040000.00|2025-10-11:-1641668.72|2025-10-13:-369550.00|2025-10-15:41382220.11,2025-08-08:event_185:debit:1651100,event_144:Home repair reserve:monthly|event_138:Municipal utilities:monthly|event_139:Household insurance:monthly|event_140:Course tuition:monthly|event_141:Clinic payment:monthly|event_143:Shared storage plan:monthly|event_136:Payroll credit:monthly|event_142:Cinema and events:monthly,none
request_03,2019-09-03,5810300,2668700,5491000,873000,1280583.53,2019-09-04:-1140000.00|2019-09-07:-95000.00|2019-09-08:-303042.45|2019-09-11:-117800.00|2019-09-14:-205174.02|2019-09-15:4365000.00|2019-10-04:-1140000.00|2019-10-08:-303042.45|2019-10-11:-117800.00|2019-10-14:-205174.02|2019-10-15:4365000.00|2019-11-04:-1140000.00|2019-11-08:-303042.45|2019-11-11:-117800.00|2019-11-14:-205174.02|2019-11-15:4365000.00,2019-09-07:event_254:debit:95000,event_212:Landlord standing order:monthly|event_213:Water and power payment:monthly|event_215:Video streaming plan:monthly|event_214:Shared storage plan:monthly|event_216:Clothing and household items:monthly|event_210:Payroll credit:monthly,none
request_04,2024-06-04,52206950,30686600,12693000,8401800,12693000,2024-06-05:-2033868.83|2024-06-09:-1027900.00|2024-06-10:-332500.00|2024-06-11:-1704300.00|2024-06-12:-377150.00|2024-06-13:-1542620.00|2024-06-15:38190000.00|2024-07-01:-12293000.00|2024-07-05:-2033868.83|2024-07-09:-1027900.00|2024-07-10:-332500.00|2024-07-12:-377150.00|2024-07-13:-1542620.00|2024-07-15:38190000.00|2024-08-01:-12293000.00|2024-08-05:-2033868.83|2024-08-09:-1027900.00|2024-08-10:-332500.00|2024-08-12:-377150.00|2024-08-13:-1542620.00|2024-08-15:38190000.00|2024-09-01:-12293000.00,2024-06-11:event_357:debit:1704300,event_291:Residential rent payment:monthly|event_286:Municipal utilities:monthly|event_289:Gym membership:monthly|event_287:Music service subscription:monthly|event_288:Food delivery membership:monthly|event_290:Local event tickets:monthly|event_284:Payroll credit:monthly,none
request_05,2025-11-06,46475.1,13100,15488,737,7006.21,2025-11-06:-750.89|2025-11-10:-722.37|2025-11-11:-968.00|2025-11-12:-535.97|2025-11-13:-840.40|2025-12-02:-4972.00|2025-12-06:-750.89|2025-12-10:-722.37|2025-12-11:-968.00|2025-12-12:-535.97|2025-12-13:-840.40|2026-01-02:-4972.00|2026-01-06:-750.89|2026-01-10:-722.37|2026-01-11:-968.00|2026-01-12:-535.97|2026-01-13:-840.40|2026-02-02:-4972.00,,event_398:Apartment rent transfer:monthly|event_392:Municipal utilities:monthly|event_394:Therapy appointment:monthly|event_393:Vehicle loan payment:monthly|event_396:Cloud storage plan:monthly|event_397:Personal shopping:monthly|event_395:Dependent care payment:monthly,none
request_06,2026-01-03,1942.4,800,620.4,603.3,620.4,2026-01-03:-254.10|2026-01-07:-58.98|2026-01-08:-26.00|2026-01-10:-19.00|2026-01-13:-5.00|2026-01-15:1037.52|2026-02-03:-254.10|2026-02-07:-58.98|2026-02-08:-26.00|2026-02-10:-19.00|2026-02-13:-5.00|2026-02-15:1037.52|2026-03-03:-254.10|2026-03-07:-58.98|2026-03-08:-26.00|2026-03-10:-19.00|2026-03-13:-5.00|2026-03-15:1037.52|2026-04-03:-254.10,,event_472:Monthly rent:monthly|event_473:Water and power payment:monthly|event_474:Vehicle insurance premium:monthly|event_476:Family streaming plan:monthly|event_475:Shared storage plan:monthly|event_471:Payroll credit:monthly,none
request_07,2024-09-05,218945.56,93000,197400,87170.56,101903.15,2024-09-08:-7387.41|2024-09-13:-16655.00|2024-09-23:149000.00|2024-09-24:-6371.55|2024-10-04:-34200.00|2024-10-08:-7387.41|2024-10-13:-16655.00|2024-10-23:149000.00|2024-10-24:-6371.55|2024-11-04:-34200.00|2024-11-08:-7387.41|2024-11-13:-16655.00|2024-11-23:149000.00|2024-11-24:-6371.55|2024-12-04:-34200.00,,event_583:Monthly rent:monthly|event_580:Electricity bill:monthly|event_581:Personal loan payment:monthly|event_582:Music subscription:monthly|event_578:Payroll credit:monthly|event_611:Family dinner:monthly,none
request_08,2025-02-07,1536.57,800,996.6,284.57,383.59,2025-02-07:-89.00|2025-02-10:-239.98|2025-02-12:-24.00|2025-02-15:1422.85|2025-02-26:-60.66|2025-03-01:-467.50|2025-03-05:-82.61|2025-03-07:-89.00|2025-03-10:-239.98|2025-03-12:-24.00|2025-03-15:1422.85|2025-03-26:-60.66|2025-04-01:-467.50|2025-04-05:-82.61|2025-04-07:-89.00|2025-04-10:-239.98|2025-04-12:-24.00|2025-04-15:1422.85|2025-04-26:-60.66|2025-05-01:-467.50|2025-05-05:-82.61|2025-05-07:-89.00,,event_707:Family dinner:monthly|event_650:Apartment rent transfer:monthly|event_651:Municipal utilities:monthly|event_646:School fee payment:monthly|event_647:Personal loan payment:monthly|event_648:Music subscription:monthly|event_649:Grocery delivery membership:monthly|event_708:Neighbourhood restaurant:monthly|event_643:Payroll credit:monthly,none
request_09,2026-07-04,2231.1,600,166.61,166.61,166.61,2026-07-06:-71.04|2026-07-09:-20.00|2026-07-12:-5.00|2026-08-02:-211.20|2026-08-06:-71.04|2026-08-09:-20.00|2026-08-12:-5.00|2026-09-02:-211.20|2026-09-06:-71.04|2026-09-09:-20.00|2026-09-12:-5.00|2026-10-02:-211.20,,event_752:Monthly rent:monthly|event_748:Water and power payment:monthly|event_750:Video streaming plan:monthly|event_749:Cloud storage plan:monthly,none
request_10,2024-12-06,750155,225400,266700,12700,189248.98,2024-12-07:-17771.13|2024-12-11:-4860.00|2024-12-12:-2800.00|2024-12-14:-1895.00|2024-12-15:-4883.78|2025-01-03:-69100.00|2025-01-05:-10525.43|2025-01-07:-17771.13|2025-01-11:-4860.00|2025-01-12:-2800.00|2025-01-14:-1895.00|2025-01-15:-4883.78|2025-02-03:-69100.00|2025-02-05:-10525.43|2025-02-07:-17771.13|2025-02-11:-4860.00|2025-02-12:-2800.00|2025-02-14:-1895.00|2025-02-15:-4883.78|2025-03-03:-69100.00|2025-03-05:-10525.43,,event_840:Monthly rent:monthly|event_834:Electricity and water bill:monthly|event_837:Community fitness plan:monthly|event_835:Music subscription:monthly|event_836:Delivery service plan:monthly|event_838:Cinema and events:monthly|event_900:Lunch with colleagues:monthly,none
