request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 as scheduled; the 90-day forecast keeps at least the IDR 24768300 minimum.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 as scheduled; the 90-day forecast keeps at least the ZAR 20500 minimum.
request_28,425.26,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Wait until 2024-07-15 to pay EUR 1302.4; earlier payment would breach the EUR 1100 minimum.
request_29,16451.44,not_affordable,not_recommended,none,,none,ZAR 51524 is not safe within 90 days while preserving the ZAR 28300 minimum balance.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied installment schedule for USD 775.2; the forecast keeps at least the USD 900 minimum.
request_31,4219196.88,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Wait until 2024-09-15 to pay IDR 18164000; earlier payment would breach the IDR 16588900 minimum.
request_32,16327.54,affordable_later,wait,2025-03-15:40018,2025-03-15,none,Wait until 2025-03-15 to pay ZAR 40018; earlier payment would breach the ZAR 35700 minimum.
request_33,41950.47,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Wait until 2026-03-15 to pay INR 118000; earlier payment would breach the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 as scheduled; the 90-day forecast keeps at least the INR 138500 minimum.
request_35,47252.66,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000; earlier payment would breach the INR 106400 minimum.
request_36,902.8,affordable_later,wait,2026-08-15:3954,2026-08-15,none,Wait until 2026-08-15 to pay USD 3954; earlier payment would breach the USD 2400 minimum.
request_37,6737130.82,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,Wait until 2024-04-15 to pay IDR 14649000; earlier payment would breach the IDR 17056200 minimum.
request_38,214.75,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait until 2025-09-15 to pay EUR 971.3; earlier payment would breach the EUR 400 minimum.
request_39,71777.5,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait until 2026-04-15 to pay INR 208600; earlier payment would breach the INR 213400 minimum.
request_40,540,affordable_later,wait,2024-07-15:1290.3,2024-07-15,none,Wait until 2024-07-15 to pay EUR 1290.3; earlier payment would breach the EUR 1500 minimum.
request_41,13214498.74,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Wait until 2025-11-15 to pay IDR 38760000; earlier payment would breach the IDR 25366600 minimum.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 as scheduled; the 90-day forecast keeps at least the INR 113100 minimum.
request_43,9777449.1,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Wait until 2024-10-15 to pay IDR 43339000; earlier payment would breach the IDR 21398000 minimum.
request_44,41517.88,affordable_later,wait,2025-03-15:95800,2025-03-15,none,Wait until 2025-03-15 to pay INR 95800; earlier payment would breach the INR 82900 minimum.
request_45,4599041.31,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 to pay IDR 21983000; earlier payment would breach the IDR 11149800 minimum.
request_46,44347.86,affordable_with_plan,partial_payment,2024-12-03:44347.86|2024-12-15:5102.14,2024-12-15,none,Pay INR 49450 as scheduled; the 90-day forecast keeps at least the INR 84000 minimum.
request_47,32304898.88,affordable_with_plan,full_payment,2025-05-05:38114000,,stop:event_4341|stop:event_4339|stop:event_4340,Pay IDR 38114000 using the listed flexible-spending changes while preserving the IDR 30049000 minimum.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 as scheduled; the 90-day forecast keeps at least the INR 71300 minimum.
request_49,14988006.15,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,Use the supplied installment schedule for IDR 34333000; the forecast keeps at least the IDR 20275700 minimum.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 as scheduled; the 90-day forecast keeps at least the INR 99700 minimum.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 as scheduled; the 90-day forecast keeps at least the IDR 7811000 minimum.
request_52,21517.31,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 to pay INR 28870; earlier payment would breach the INR 41500 minimum.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Use the supplied installment schedule for USD 1699.2; the forecast keeps at least the USD 2100 minimum.
request_54,4312,not_affordable,not_recommended,none,,none,ZAR 121528 is not safe within 90 days while preserving the ZAR 37000 minimum balance.
request_55,132375,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Use the supplied installment schedule for INR 218600; the forecast keeps at least the INR 124300 minimum.
request_56,553.95,affordable_with_plan,partial_payment,2025-02-03:553.95|2025-02-15:327.61,2025-02-15,none,Pay USD 881.56 as scheduled; the 90-day forecast keeps at least the USD 2100 minimum.
request_57,14668.81,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait until 2026-05-15 to pay ZAR 61446; earlier payment would breach the ZAR 42700 minimum.
request_58,0,not_affordable,not_recommended,none,,none,IDR 16226000 is not safe within 90 days while preserving the IDR 14433900 minimum balance.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the supplied installment schedule for INR 140600; the forecast keeps at least the INR 132600 minimum.
request_60,144.95,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait until 2026-01-15 to pay USD 199.89; earlier payment would breach the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the supplied installment schedule for ZAR 29062; the forecast keeps at least the ZAR 36700 minimum.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 as scheduled; the 90-day forecast keeps at least the USD 1300 minimum.
request_63,53626.79,affordable_with_plan,partial_payment,2026-07-07:53626.79|2026-08-15:290273.21,2026-08-15,none,Pay INR 343900 as scheduled; the 90-day forecast keeps at least the INR 153500 minimum.
request_64,0,not_affordable,not_recommended,none,,none,INR 63700 is not safe within 90 days while preserving the INR 36100 minimum balance.
